Type,Notes,Distance (miles) From Start,Elevation (ft),Description,Edited
Start,Start of route,0,0,,
Left,Turn left toward NW Highland Dr,0.02,232.94,,""
Left,Turn left onto NW Highland Dr,0.03,232.94,,""
Left,Turn left onto NW Crescent Valley Dr,1.83,295.28,,""
Right,Slight right to stay on NW Crescent Valley Dr,2.66,335.96,,""
Right,Turn right onto NW Lewisburg Ave,3.54,419.95,,""
Left,Turn left onto NW Sulphur Springs Rd,3.68,367.78,,""
Right,Turn right onto NW Soap Creek Rd,6.32,534.45,,""
Left,Turn left onto Old Portland and Umpaqua Vally Rd/​Tampico Rd,11.20,309.38,,""
Straight,Continue onto Berry Creek Rd,15.32,354.99,,""
Right,Turn right onto Airlie Rd,16.52,236.88,,""
Left,Turn left onto OR-99W N,20.86,215.22,,""
Straight,Make a U-turn,21.25,212.60,,""
Right,Turn right onto Airlie Rd,21.63,215.55,,""
Straight,Make a U-turn at Rolling Hills Rd,21.88,220.80,,""
Left,Turn left onto OR-99W N,22.13,215.22,,""
Left,Turn left toward Helmick Rd,22.30,217.85,,""
Right,Turn right onto Helmick Rd,22.31,218.18,,""
Right,Slight right to stay on Helmick Rd,27.56,250.00,,""
Straight,Continue onto Warren St S,29.04,196.19,,""
Left,Turn left onto Main St W,29.66,206.69,,""
Right,Turn right onto Monmouth Ave N (signs for Western Oregon University),29.74,214.24,,""
Straight,Continue onto Riddell Rd,30.42,193.90,,""
Right,Turn right onto Hoffman Rd,30.85,198.49,,""
Straight,Continue onto Polk St,33.21,173.56,,""
Right,Turn right onto N Main St,33.59,167.32,,""
Left,Turn left onto River Rd S,34.62,165.35,,""
Right,Turn right at Willamette Valley Scenic Bikeway,35.11,158.46,,""
Left,Turn left onto Riverside Dr S/​Willamette Valley Scenic Bikeway,35.18,159.45,,""
Straight,Make a U-turn,35.37,156.82,,""
Left,Keep left to stay on Sidney Rd S/​Willamette Valley Scenic Bikeway,41.59,202.43,,""
Right,Turn right onto Buena Vista Rd S/​Willamette Valley Scenic Bikeway,43.00,199.48,,""
Straight,Take the Marion - Polk ferry to Independence,46.85,169.62,,""
Straight,Continue straight onto Willamette Ferry St,46.98,162.73,,""
Left,Turn left onto Buena Vista Rd/​Meridian St,47.32,258.53,,""
Right,Turn right onto NW Springhill Dr,51.71,183.40,,""
Left,Turn left onto NW Independence Hwy,52.54,199.15,,""
Right,Turn right onto NE Pettibone Dr,57.04,215.88,,""
Right,Turn right onto NE Granger Ave,60.05,229.00,,""
Left,Turn left onto NE Elliott Cir,60.57,246.06,,""
Left,Turn left onto NE Granger Ave,60.69,246.06,,""
Left,Turn left onto OR-99W S,60.75,250.33,,""
Right,Turn right onto NE Conifer Blvd,63.01,234.58,,""
Left,Turn left onto NW 9th St,63.05,238.19,,""
Right,Turn right onto NW Circle Blvd,63.64,226.71,,""
End,End of route,63.70,227.69,
