,Distance,Turn,Notes
0,0.0,start,Start on HAYES ST
1,0.0,right,Turn right onto W 18TH AVE
2,0.3,straight,Continue straight onto CHAMBERS ST
3,0.6,straight,Continue straight onto TYLER ST
4,0.9,left,Turn left onto TYLER ST
5,1.1,straight,Continue straight onto TYLER ST
6,1.3,straight,Continue straight onto TYLER ST
7,1.4,straight,Continue straight onto W 7TH AVE
8,1.4,straight,Continue straight onto W 6TH AVE
9,1.5,straight,Continue straight onto TYLER ST
10,1.5,right,Turn right onto W 5TH AVE
11,1.7,straight,Continue straight onto BLAIR BLVD
12,1.7,end,End
