X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-123.256691,44.587662,0,0,0,67.3999999,2020/09/27 18:31:19+00,,,,,,,,,,,,,,,,,,,,,
-123.256691,44.587662,0,0,1,67.3999999,2020/09/27 18:31:20+00,,,,,,,,,,,,,,,,,,,,,
-123.256691,44.587654,0,0,2,67.3999999,2020/09/27 18:31:21+00,,,,,,,,,,,,,,,,,,,,,
-123.256699,44.587643,0,0,3,67.3999999,2020/09/27 18:31:22+00,,,,,,,,,,,,,,,,,,,,,
-123.256714,44.587627,0,0,4,67.3999999,2020/09/27 18:31:23+00,,,,,,,,,,,,,,,,,,,,,
-123.256744,44.58762,0,0,5,67.3999999,2020/09/27 18:31:24+00,,,,,,,,,,,,,,,,,,,,,
-123.256783,44.587616,0,0,6,67.3999999,2020/09/27 18:31:25+00,,,,,,,,,,,,,,,,,,,,,
-123.256828,44.587616,0,0,7,67.3999999,2020/09/27 18:31:26+00,,,,,,,,,,,,,,,,,,,,,
-123.256874,44.587616,0,0,8,67.3999999,2020/09/27 18:31:27+00,,,,,,,,,,,,,,,,,,,,,
-123.256927,44.587616,0,0,9,67.3999999,2020/09/27 18:31:28+00,,,,,,,,,,,,,,,,,,,,,
-123.256981,44.58762,0,0,10,67.6,2020/09/27 18:31:29+00,,,,,,,,,,,,,,,,,,,,,
-123.257034,44.58762,0,0,11,67.6,2020/09/27 18:31:30+00,,,,,,,,,,,,,,,,,,,,,
-123.257088,44.587616,0,0,12,67.6,2020/09/27 18:31:31+00,,,,,,,,,,,,,,,,,,,,,
-123.257149,44.587612,0,0,13,67.6,2020/09/27 18:31:32+00,,,,,,,,,,,,,,,,,,,,,
-123.25721,44.587608,0,0,14,67.7999999,2020/09/27 18:31:33+00,,,,,,,,,,,,,,,,,,,,,
-123.257271,44.587605,0,0,15,67.7999999,2020/09/27 18:31:34+00,,,,,,,,,,,,,,,,,,,,,
-123.257339,44.587605,0,0,16,67.7999999,2020/09/27 18:31:35+00,,,,,,,,,,,,,,,,,,,,,
-123.257408,44.587601,0,0,17,67.7999999,2020/09/27 18:31:36+00,,,,,,,,,,,,,,,,,,,,,
-123.257477,44.587597,0,0,18,67.7999999,2020/09/27 18:31:37+00,,,,,,,,,,,,,,,,,,,,,
-123.257545,44.587593,0,0,19,67.7999999,2020/09/27 18:31:38+00,,,,,,,,,,,,,,,,,,,,,
-123.257622,44.587589,0,0,20,67.7999999,2020/09/27 18:31:39+00,,,,,,,,,,,,,,,,,,,,,
-123.25769,44.587585,0,0,21,67.7999999,2020/09/27 18:31:40+00,,,,,,,,,,,,,,,,,,,,,
-123.257759,44.587582,0,0,22,68,2020/09/27 18:31:41+00,,,,,,,,,,,,,,,,,,,,,
-123.257835,44.587578,0,0,23,68,2020/09/27 18:31:42+00,,,,,,,,,,,,,,,,,,,,,
-123.257912,44.5875739,0,0,24,68,2020/09/27 18:31:43+00,,,,,,,,,,,,,,,,,,,,,
-123.25798,44.58757,0,0,25,68,2020/09/27 18:31:44+00,,,,,,,,,,,,,,,,,,,,,
-123.258057,44.58757,0,0,26,68,2020/09/27 18:31:45+00,,,,,,,,,,,,,,,,,,,,,
-123.258125,44.58757,0,0,27,68,2020/09/27 18:31:46+00,,,,,,,,,,,,,,,,,,,,,
-123.258202,44.58757,0,0,28,68,2020/09/27 18:31:47+00,,,,,,,,,,,,,,,,,,,,,
-123.25827,44.58757,0,0,29,68,2020/09/27 18:31:48+00,,,,,,,,,,,,,,,,,,,,,
-123.258339,44.587566,0,0,30,68,2020/09/27 18:31:49+00,,,,,,,,,,,,,,,,,,,,,
-123.258408,44.587563,0,0,31,68,2020/09/27 18:31:50+00,,,,,,,,,,,,,,,,,,,,,
-123.258476,44.587563,0,0,32,68,2020/09/27 18:31:51+00,,,,,,,,,,,,,,,,,,,,,
-123.258537,44.587555,0,0,33,68,2020/09/27 18:31:52+00,,,,,,,,,,,,,,,,,,,,,
-123.258606,44.587555,0,0,34,68,2020/09/27 18:31:53+00,,,,,,,,,,,,,,,,,,,,,
-123.258675,44.587551,0,0,35,68,2020/09/27 18:31:54+00,,,,,,,,,,,,,,,,,,,,,
-123.258751,44.587547,0,0,36,68,2020/09/27 18:31:55+00,,,,,,,,,,,,,,,,,,,,,
-123.258827,44.5875429,0,0,37,68,2020/09/27 18:31:56+00,,,,,,,,,,,,,,,,,,,,,
-123.258904,44.5875429,0,0,38,68,2020/09/27 18:31:57+00,,,,,,,,,,,,,,,,,,,,,
-123.25898,44.58754,0,0,39,68,2020/09/27 18:31:58+00,,,,,,,,,,,,,,,,,,,,,
-123.259056,44.58754,0,0,40,68,2020/09/27 18:31:59+00,,,,,,,,,,,,,,,,,,,,,
-123.259125,44.587536,0,0,41,68,2020/09/27 18:32:00+00,,,,,,,,,,,,,,,,,,,,,
-123.259201,44.587536,0,0,42,68,2020/09/27 18:32:01+00,,,,,,,,,,,,,,,,,,,,,
-123.259277,44.587536,0,0,43,68,2020/09/27 18:32:02+00,,,,,,,,,,,,,,,,,,,,,
-123.259346,44.587532,0,0,44,68,2020/09/27 18:32:03+00,,,,,,,,,,,,,,,,,,,,,
-123.259415,44.587528,0,0,45,68.2,2020/09/27 18:32:04+00,,,,,,,,,,,,,,,,,,,,,
-123.259491,44.587524,0,0,46,68,2020/09/27 18:32:05+00,,,,,,,,,,,,,,,,,,,,,
-123.25956,44.587521,0,0,47,68,2020/09/27 18:32:06+00,,,,,,,,,,,,,,,,,,,,,
-123.259636,44.587513,0,0,48,68.2,2020/09/27 18:32:07+00,,,,,,,,,,,,,,,,,,,,,
-123.259712,44.587505,0,0,49,68.2,2020/09/27 18:32:08+00,,,,,,,,,,,,,,,,,,,,,
-123.259789,44.587502,0,0,50,68.2,2020/09/27 18:32:09+00,,,,,,,,,,,,,,,,,,,,,
-123.259865,44.5874979,0,0,51,68.2,2020/09/27 18:32:10+00,,,,,,,,,,,,,,,,,,,,,
-123.259941,44.587494,0,0,52,68.2,2020/09/27 18:32:11+00,,,,,,,,,,,,,,,,,,,,,
-123.260017,44.587494,0,0,53,68.2,2020/09/27 18:32:12+00,,,,,,,,,,,,,,,,,,,,,
-123.260094,44.58749,0,0,54,68.2,2020/09/27 18:32:13+00,,,,,,,,,,,,,,,,,,,,,
-123.26017,44.587486,0,0,55,68.6,2020/09/27 18:32:14+00,,,,,,,,,,,,,,,,,,,,,
-123.260239,44.587482,0,0,56,68.6,2020/09/27 18:32:15+00,,,,,,,,,,,,,,,,,,,,,
-123.260315,44.587482,0,0,57,68.6,2020/09/27 18:32:16+00,,,,,,,,,,,,,,,,,,,,,
-123.260384,44.587482,0,0,58,68.6,2020/09/27 18:32:17+00,,,,,,,,,,,,,,,,,,,,,
-123.26046,44.587482,0,0,59,68.6,2020/09/27 18:32:18+00,,,,,,,,,,,,,,,,,,,,,
-123.260529,44.587479,0,0,60,68.6,2020/09/27 18:32:19+00,,,,,,,,,,,,,,,,,,,,,
-123.260605,44.587475,0,0,61,68.7999999,2020/09/27 18:32:20+00,,,,,,,,,,,,,,,,,,,,,
-123.260681,44.587475,0,0,62,69,2020/09/27 18:32:21+00,,,,,,,,,,,,,,,,,,,,,
-123.260757,44.587475,0,0,63,69,2020/09/27 18:32:22+00,,,,,,,,,,,,,,,,,,,,,
-123.260834,44.587471,0,0,64,69,2020/09/27 18:32:23+00,,,,,,,,,,,,,,,,,,,,,
-123.260902,44.587463,0,0,65,69,2020/09/27 18:32:24+00,,,,,,,,,,,,,,,,,,,,,
-123.260979,44.58746,0,0,66,68.7999999,2020/09/27 18:32:25+00,,,,,,,,,,,,,,,,,,,,,
-123.261047,44.587456,0,0,67,68.6,2020/09/27 18:32:26+00,,,,,,,,,,,,,,,,,,,,,
-123.261124,44.58746,0,0,68,68.6,2020/09/27 18:32:27+00,,,,,,,,,,,,,,,,,,,,,
-123.2612,44.587456,0,0,69,68.3999999,2020/09/27 18:32:28+00,,,,,,,,,,,,,,,,,,,,,
-123.261276,44.587452,0,0,70,68.3999999,2020/09/27 18:32:29+00,,,,,,,,,,,,,,,,,,,,,
-123.261353,44.587448,0,0,71,68.3999999,2020/09/27 18:32:30+00,,,,,,,,,,,,,,,,,,,,,
-123.261429,44.587444,0,0,72,68.3999999,2020/09/27 18:32:31+00,,,,,,,,,,,,,,,,,,,,,
-123.261505,44.587437,0,0,73,68.3999999,2020/09/27 18:32:32+00,,,,,,,,,,,,,,,,,,,,,
-123.261581,44.587425,0,0,74,68.3999999,2020/09/27 18:32:33+00,,,,,,,,,,,,,,,,,,,,,
-123.26165,44.587425,0,0,75,68.3999999,2020/09/27 18:32:34+00,,,,,,,,,,,,,,,,,,,,,
-123.261726,44.587421,0,0,76,68.3999999,2020/09/27 18:32:35+00,,,,,,,,,,,,,,,,,,,,,
-123.261795,44.587418,0,0,77,68.3999999,2020/09/27 18:32:36+00,,,,,,,,,,,,,,,,,,,,,
-123.261864,44.587414,0,0,78,68.3999999,2020/09/27 18:32:37+00,,,,,,,,,,,,,,,,,,,,,
-123.261917,44.58741,0,0,79,68.3999999,2020/09/27 18:32:38+00,,,,,,,,,,,,,,,,,,,,,
-123.261978,44.587406,0,0,80,68.3999999,2020/09/27 18:32:39+00,,,,,,,,,,,,,,,,,,,,,
-123.262039,44.587399,0,0,81,68.3999999,2020/09/27 18:32:40+00,,,,,,,,,,,,,,,,,,,,,
-123.2621,44.587399,0,0,82,68.3999999,2020/09/27 18:32:41+00,,,,,,,,,,,,,,,,,,,,,
-123.262154,44.587395,0,0,83,68.6,2020/09/27 18:32:42+00,,,,,,,,,,,,,,,,,,,,,
-123.262207,44.587395,0,0,84,68.6,2020/09/27 18:32:43+00,,,,,,,,,,,,,,,,,,,,,
-123.26226,44.587399,0,0,85,68.6,2020/09/27 18:32:44+00,,,,,,,,,,,,,,,,,,,,,
-123.262314,44.587402,0,0,86,68.6,2020/09/27 18:32:45+00,,,,,,,,,,,,,,,,,,,,,
-123.26236,44.587406,0,0,87,68.6,2020/09/27 18:32:46+00,,,,,,,,,,,,,,,,,,,,,
-123.262405,44.587414,0,0,88,68.6,2020/09/27 18:32:47+00,,,,,,,,,,,,,,,,,,,,,
-123.262444,44.587433,0,0,89,68.6,2020/09/27 18:32:48+00,,,,,,,,,,,,,,,,,,,,,
-123.262466,44.587452,0,0,90,68.6,2020/09/27 18:32:49+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.587475,0,0,91,68.6,2020/09/27 18:32:50+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.587502,0,0,92,68.6,2020/09/27 18:32:51+00,,,,,,,,,,,,,,,,,,,,,
-123.262497,44.587528,0,0,93,68.6,2020/09/27 18:32:52+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.587559,0,0,94,68.6,2020/09/27 18:32:53+00,,,,,,,,,,,,,,,,,,,,,
-123.262489,44.587589,0,0,95,68.6,2020/09/27 18:32:54+00,,,,,,,,,,,,,,,,,,,,,
-123.262482,44.58762,0,0,96,68.6,2020/09/27 18:32:55+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.587658,0,0,97,68.6,2020/09/27 18:32:56+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.5877,0,0,98,68.7999999,2020/09/27 18:32:57+00,,,,,,,,,,,,,,,,,,,,,
-123.262482,44.587746,0,0,99,68.7999999,2020/09/27 18:32:58+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.587791,0,0,100,68.7999999,2020/09/27 18:32:59+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.587841,0,0,101,69,2020/09/27 18:33:00+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.587887,0,0,102,69,2020/09/27 18:33:01+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.587936,0,0,103,69,2020/09/27 18:33:02+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.587986,0,0,104,69,2020/09/27 18:33:03+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588036,0,0,105,69,2020/09/27 18:33:04+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588085,0,0,106,69,2020/09/27 18:33:05+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588135,0,0,107,69,2020/09/27 18:33:06+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588181,0,0,108,68.7999999,2020/09/27 18:33:07+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.58823,0,0,109,68.7999999,2020/09/27 18:33:08+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588276,0,0,110,68.7999999,2020/09/27 18:33:09+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588318,0,0,111,68.7999999,2020/09/27 18:33:10+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.58836,0,0,112,68.6,2020/09/27 18:33:11+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588402,0,0,113,68.6,2020/09/27 18:33:12+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.58844,0,0,114,68.6,2020/09/27 18:33:13+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588478,0,0,115,68.6,2020/09/27 18:33:14+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588512,0,0,116,68.6,2020/09/27 18:33:15+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588551,0,0,117,68.6,2020/09/27 18:33:16+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588581,0,0,118,68.6,2020/09/27 18:33:17+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588608,0,0,119,68.6,2020/09/27 18:33:18+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588627,0,0,120,68.6,2020/09/27 18:33:19+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588661,0,0,121,68,2020/09/27 18:33:32+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.5886799,0,0,122,68.2,2020/09/27 18:33:33+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588703,0,0,123,68.2,2020/09/27 18:33:34+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.58873,0,0,124,68.2,2020/09/27 18:33:35+00,,,,,,,,,,,,,,,,,,,,,
-123.262466,44.588757,0,0,125,68.2,2020/09/27 18:33:36+00,,,,,,,,,,,,,,,,,,,,,
-123.262466,44.588787,0,0,126,68.3999999,2020/09/27 18:33:37+00,,,,,,,,,,,,,,,,,,,,,
-123.262466,44.588821,0,0,127,68.3999999,2020/09/27 18:33:38+00,,,,,,,,,,,,,,,,,,,,,
-123.262466,44.588856,0,0,128,68.3999999,2020/09/27 18:33:39+00,,,,,,,,,,,,,,,,,,,,,
-123.262474,44.588886,0,0,129,68.6,2020/09/27 18:33:40+00,,,,,,,,,,,,,,,,,,,,,
